,0
0,http://www.w3.org/2000/svg
1,http://www.w3.org/2000/svg
2,http://www.w3.org/2000/svg
3,http://www.w3.org/2000/svg
4,http://www.w3.org/2000/svg
5,http://www.w3.org/2000/svg
6,http://www.w3.org/2000/svg
7,http://www.w3.org/2000/svg
8,http://www.w3.org/2000/svg
9,http://www.w3.org/2000/svg
10,http://www.w3.org/2000/svg
11,http://www.w3.org/2000/svg
12,http://www.w3.org/2000/svg
13,http://www.w3.org/2000/svg
14,http://www.w3.org/2000/svg
15,http://www.w3.org/2000/svg
16,http://www.w3.org/2000/svg
17,http://www.w3.org/2000/svg
18,http://www.w3.org/2000/svg
19,http://www.w3.org/2000/svg
20,http://www.w3.org/2000/svg
21,http://revistaquem.globo.com/QUEM-News/noticia/2021/03/pai-de-yudi-tamashiro-morre-apos-complicacoes-da-covid-19.html
22,http://extra.globo.com/economia/procon-sp-pede-que-caixa-localize-ganhador-da-mega-da-virada-banco-recusa-24950438.html
23,http://g1.globo.com/bemestar/coronavirus/noticia/2021/03/31/brasil-registra-quase-4-mil-mortes-por-covid-no-dia-e-fecha-pior-mes-da-pandemia-com-668-mil-obitos.ghtml
24,http://revistaquem.globo.com/QUEM-News/noticia/2021/03/flavia-viana-chora-e-pede-desculpas-por-post-pago-por-governo-sobre-covid-19.html
25,http://g1.globo.com/sc/santa-catarina/noticia/2021/03/31/paciente-toma-cerveja-em-hospital-de-blumenau-apos-ficar-18-dias-em-uti-covid.ghtml
26,http://globoesporte.globo.com/rj/futebol/campeonato-carioca/jogo/31-03-2021/flamengo-bangu.ghtml
27,http://globoesporte.globo.com/futebol/times/sao-paulo/noticia/a-pedido-de-muller-presidente-do-sao-paulo-vai-reparar-injustica-e-homenagear-richarlyson.ghtml
28,http://globoesporte.globo.com/rs/futebol/campeonato-gaucho/jogo/31-03-2021/sao-luiz-gremio.ghtml
29,http://globoesporte.globo.com/rs/futebol/times/gremio/noticia/gremio-acerta-com-o-dallas-fc-e-fecha-contratacao-de-thiago-santos-ex-palmeiras.ghtml
30,http://globoesporte.globo.com/rs/futebol/campeonato-gaucho/jogo/31-03-2021/internacional-sao-jose-rs.ghtml
31,http://gshow.globo.com/realities/bbb/bbb21/casa-bbb/noticia/no-bbb21-rodolffo-se-irrita-com-brothers-e-pede-para-juliette-respeita-as-pessoas.ghtml
32,http://gshow.globo.com/realities/bbb/bbb21/casa-bbb/noticia/viih-tube-reclama-de-fiuk-no-bbb21-ele-esta-chatissimo-hoje-meu-deus.ghtml
33,http://gshow.globo.com/realities/bbb/bbb21/casa-bbb/noticia/no-bbb21-arthur-faz-revelacao-sobre-sarah-confesso-que-no-inicio-do-programa-fiquei-a-fim-dela.ghtml
34,http://revistaquem.globo.com/QUEM-News/noticia/2021/03/grazi-massafera-pratiga-ioga-na-companhia-da-filha-sofia.html
35,http://vogue.globo.com/celebridade/noticia/2021/03/juju-salimeni-investe-em-maio-fetichista-para-ensaio-fotografico.html
36,http://www.w3.org/2000/svg
37,http://www.w3.org/2000/svg
